sample_id,stage,treatment,batch,slide,parental_tumor,niche,emt,proliferation,hypoxia,immune,fibroblast,macrophage,tumour,n_spots,abundance
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N5,0.04256947091678762,0.29227527874500636,1.8500134482748294,0.1465709937699536,0.015970779973431548,0.007541698950525976,0.8207638207143559,1412,0.3672442045903191
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N7,0.15915016648847868,0.15394774506616649,3.545199677912238,0.25022486844993364,0.22097811285458827,0.15460650461667458,0.4986961210331642,276,0.012533718530259991
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N8,0.09756421227462639,0.23554067957924335,3.305853969502613,0.1383294351359361,0.016484454227124593,0.010478660580874207,0.8267343274367966,688,0.0434851469236451
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N9,0.14348246952260646,0.12296301765832457,5.318817901920385,0.1998588207882999,0.26201142645086856,0.12416842767693832,0.4976178148800968,355,0.03148207597997098
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N10,0.042121252084275085,0.18672264271255087,5.7065188166372325,0.11724532147260378,0.019422137643653425,0.010442322797627576,0.8513521212253493,1289,0.18319661523431247
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N11,0.08768054139401718,0.2692727479401255,2.11718194017266,0.20419244289269559,0.0770091481523839,0.06664787863719236,0.6928256635356079,586,0.047520326124368815
20221010-2_5,primary,no_treatment,2022/10/10,V11Y17-039,2.1,N12,0.06748386140965128,0.2335398221229138,2.98125610656112,0.1380171662251748,0.04210184168666419,0.02574652106601494,0.7911131507690222,190,0.005221853555039986
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N0,0.05302439554446869,0.2435504720024277,1.855103413960911,0.11426360220718942,0.036104677793752586,0.014278833854823515,0.8219504756972463,992,0.0722314867671184
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N1,0.08567515885630092,0.16721233759406612,3.2822442314348783,0.23089980760773163,0.1579797613446595,0.14476553269776646,0.5843899544451001,296,0.007665638281887409
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N2,0.10979767490324277,0.19450700850163305,2.446800374198282,0.07827184840674843,0.012550915344882854,0.0054214023371110245,0.8933704219548543,1188,0.08572805718236874
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N4,0.06274857277971341,0.2372733981341852,1.5187637824818363,0.10721313122462128,0.040521254234187364,0.01571968474025157,0.8158705359391802,1262,0.13849087683399136
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N5,0.0494674854880991,0.28621521525702376,0.25899610918616117,0.09705778359629715,0.013148799305833684,0.0044138533960193385,0.8695957546598947,1519,0.40010950552167
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N7,0.11292505579674844,0.1877690330683603,2.131314199174977,0.15843196264055853,0.22793614763615802,0.0760610624402912,0.5775890966959396,366,0.01106381905915308
20221010-3_9,primary,no_treatment,2022/10/10,V12A25-134,2.1,N8,0.07858902350022524,0.22638793746090438,1.5736414488733137,0.09942800526402339,0.013997088240693463,0.005481887339253863,0.8654905318510525,853,0.025887539578578447
